sku,product_name,brand,pst,gmv,gv,orders,units,instock,atc,platform_gmv_loss,express_gmv_loss,cvr,asp
Z5ADD1F28D9FAF17DEF1DZ-1,"100 Clear Treat Bags with Twist Ties & Bows Cellophane Gift Bags for Candy, Cookies or Party Favors",bellsberry,bag,70.2,58.0,3.0,4.0,100.0,11.0,0.0,0.0,0.05172413793103448,17.55
Z5AE1B8C3AD29C898333AZ-1,"Storage Shelf,Stackable Multifunctional Storage Organizer Holder, Flowers and Plants Display Shelf,Plastic Storage Rack, for Living Room, Bedroom, and Home Office,31x28x15.5 cm (White)",generic,cabinet_drawer_organization,702.02,45.0,5.0,18.0,100.0,15.0,0.0,0.0,0.1111111111111111,39.00111111111111
Z5AE20A4690F63D8C3906Z-1,"Likun Mop Broom Holder, Garden Tools Wall Mounted Commercial Organizer Saving Space Storage Rack For Kitchen Garden And Garage,Laundry Offices5 Position With 6 Hooks, Black.",akdc,garage_storage,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5AE2E75B4EACF84E7686Z-1,"Dish Drying Rack with Lid, Large Dish Rack for Kitchen Cabinets,Plastic Dish Drainer with Drainboard Tray, Space Saving,Sturdy and Durable, for Kitchen Counter Cabinets",duniso,racks,0.0,9.0,0.0,0.0,100.0,3.0,0.0,0.0,0.0,0.0
Z5AE4693790F43AA766FDZ-1,"Vacuum Storage Bags,9-Piece Space Saver Bags With Hand Pump,2 Jumbo (100x80cm),2 Large (100x70cm),2 Medium (80x60cm),2 Small (60x40cm), For Clothes",ununs,closet_clothes_hanger,0.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5AE5DAA3EBCF96F90828Z-1,24 Compartments Transparent Acrylic Lipstick Storage Box,kutis,closet_organization_systems,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Z5AE8B0B72D769EDC9BD2Z-1,"LocknLock Fresh Oven-Safe Glass Square Container 160ml â€“ Airtight, Leakproof & Heat-Resistant",locknlock,food_containers,25.98,10.0,2.0,2.0,100.0,4.0,0.0,0.0,0.2,12.99
Z5AEF66B476DD19E7A593Z-1,"3PCS Fridge Organizers, Food Storage Container, Clear Stackable Refrigerator Organizer Bins with Lid & Strainer For Vegetable Fruit Storage Containers",gzyizhou,food_containers,99.9,30.0,2.0,2.0,100.0,8.0,0.0,0.0,0.06666666666666667,49.95
Z5AEF727DF32EC3A0D4DFZ-1,Nordic Stream Storage Hanger,nordic_stream,closet_clothes_hanger,0.0,11.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0
Z5AF204E923052185A69CZ-1,"Moving Bags 180L Extra Large with Strong Zippers and Carrying Handles, Storage Bags Storage Totes for Clothes, Moving Supplies, Space Saving, Oversized Storage Bag Organizer for Moving, Traveling",kingone,space_saver_bag,384.45,125.0,9.0,11.0,100.0,32.0,0.0,0.0,0.072,34.949999999999996
Z5AF784D0F780BDE079C3Z-1,Red Dot Gift® 20-Pack Grey Non-Slip Velvet Hangers with 360 Degree Rotatable Hook,red_dot_gift,closet_clothes_hanger,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
