partner_id,partner_name,gmv,gv,orders,units,n_skus,instock,cancelled_gmv,returns_gmv,n_brands,business_model,cvr,cancel_rate,return_rate,share,cum_share
275893,FONO TELECOM LLC,219.0,144,1,1,7,98.78472222186178,0.0,0.0,2,Unmapped,0.006944444444444444,0.0,0.0,0.01412414667016954,96.71791786344363
38616,TMALL-KSA,219.0,58,1,1,3,97.09051723964033,0.0,0.0,1,FBN,0.017241379310344827,0.0,0.0,0.01412414667016954,96.7320420101138
104189,jng,218.36999999999998,140,3,3,11,98.66071428543052,101.44,0.0,1,FBN,0.02142857142857143,46.45326739020928,0.0,0.014083515563310148,96.74612552567712
48642,JUNI,216.0,97,4,4,6,100.0,69.0,0.0,2,FBN,0.041237113402061855,31.944444444444443,0.0,0.013930665208934342,96.76005619088605
141022,ALNAJMAH GLASS COATING L.L.C.SP,214.99,96,4,4,34,96.289062499115,0.0,0.0,2,Unmapped,0.041666666666666664,0.0,0.0,0.01386552645031849,96.77392171733636
38671,beinone,214.48,66,2,2,5,99.99999999999999,0.0,0.0,1,FBN,0.030303030303030304,0.0,0.0,0.013832634601908506,96.78775435193828
111215,SKYVIEW SHOES,213.0,155,3,3,8,89.1129032259535,0.0,0.0,1,FBN,0.01935483870967742,0.0,0.0,0.01373718374769914,96.80149153568597
542747,"Quanzhou Fengze Chaohui Cross-border E-Commerce Co., Ltd.",211.0,0,1,1,1,6.25,0.0,0.0,1,SBB,0.0,0.0,0.0,0.013608196106875674,96.81509973179284
202310,ZiSales,208.89999999999998,424,10,12,26,86.659787734992,0.0,0.0,1,FBN,0.02358490566037736,0.0,0.0,0.013472759084011035,96.82857249087685
112320,Monikang noon ,208.0,113,7,9,10,90.04424778725037,0.0,0.0,1,FBN,0.061946902654867256,0.0,0.0,0.013414714645640476,96.84198720552249
451051,yiyangchenlukejiyouxiangongsi,207.6,49,7,7,3,100.0,0.0,62.6,1,FBN,0.14285714285714285,0.0,30.154142581888248,0.013388917117475781,96.85537612263997
507489,zheng chunlong,207.0,112,6,10,6,99.99999999916292,0.0,0.0,5,FBN,0.05357142857142857,0.0,0.0,0.013350220825228742,96.8687263434652
333691,THE PRO BRO ,205.4,120,8,8,3,100.0,0.0,0.0,1,FBN,0.06666666666666667,0.0,0.0,0.01324703071256997,96.88197337417776
35499,Shopify,204.25,25,2,2,16,99.25000000040997,0.0,0.0,11,DSE,0.08,0.0,0.0,0.013172862819096479,96.89514623699685
256363,shenzhenjiachengwaimaoyouxiangongsi,203.29999999999998,79,5,6,2,100.0,38.8,0.0,2,FBN,0.06329113924050633,19.085095917363503,0.0,0.01311159368970533,96.90825783068655
508957,huizhoushitianjundianzishangwuyouxiangongsi,201.11,4,3,3,2,100.0,46.17,0.0,1,SBB,0.75,22.957585401024314,0.0,0.012970352223003637,96.92122818290956
119218,FOSHANSHI LUZHOU MAOYI YOUXIANGONGSI,200.6,59,2,4,18,70.9745762819646,0.0,0.0,1,FBN,0.03389830508474576,0.0,0.0,0.012937460374593653,96.93416564328415
531955,shenzhenshiyufangtongkejiyouxiangongsi,200.0,35,5,7,6,83.92857141839285,0.0,0.0,1,SBB,0.14285714285714285,0.0,0.0,0.012898764082346612,96.9470644073665
497248,Fresh Fusion FZE LLC,200.0,130,4,4,1,100.0,0.0,100.0,1,FBN,0.03076923076923077,0.0,50.0,0.012898764082346612,96.95996317144885
338508,NEW QAMAR JASI,199.99,37,1,1,1,100.0,0.0,0.0,1,SBB,0.02702702702702703,0.0,0.0,0.012898119144142496,96.97286129059299
82764,"Xiamen Shenghuashi Information Technology Co.,Ltd",199.96,10,2,4,1,100.0,0.0,0.0,1,SBB,0.2,0.0,0.0,0.012896184329530143,96.98575747492252
343691,Feiting,199.8,148,4,4,6,34.121621625078745,0.0,0.0,1,FBN,0.02702702702702703,0.0,0.0,0.012885865318264265,96.99864334024079
25142,BIG WORLD,199.6,100,4,4,7,100.00000000000001,0.0,0.0,2,FBN,0.04,0.0,0.0,0.012872966554181917,97.01151630679497
106187,WeiPur,199.0,166,1,1,1,100.00000000000001,0.0,0.0,1,SBB,0.006024096385542169,0.0,0.0,0.012834270261934878,97.02435057705691
26559,Zahra Electronics,199.0,3,1,1,1,93.75,0.0,0.0,1,FBN,0.3333333333333333,0.0,0.0,0.012834270261934878,97.03718484731884
32058,Radicaln Handicrafts,198.0,20,1,2,4,100.0,0.0,0.0,1,FBN,0.05,0.0,0.0,0.012769776441523146,97.04995462376037
487353,Diana,198.0,9,2,2,1,100.0,0.0,0.0,1,SBB,0.2222222222222222,0.0,0.0,0.012769776441523146,97.0627244002019
