pst,gmv_aug26,gmv_aug25,share_aug26,share_aug25,yoy_growth_pct,abs_yoy_chg,gv_yoy_pct,cvr_aug26,cvr_aug25,cvr_yoy_pp,asp_aug26,asp_aug25,asp_yoy_pct,instock_aug26,n_skus_aug26,selling_pct_aug26,contribution_pct
flatware_utensil_storage,7441.64,3697.63,0.21017237408574546,0.16084726496813664,101.25431695437348,3744.01,19.473684210526315,4.275719098211972,3.1269349845201235,1.1487841136918482,42.04316384180791,34.55728971962617,21.662214204056284,92.27532635667278,188.0,29.78723404255319,0.3014776722761736
bread_box,7174.47,4223.53,0.2026267587127244,0.18372396616505005,69.86904319372658,2950.9400000000005,12.513218188227002,4.793233082706767,2.4673951357067323,2.3258379470000343,45.12245283018868,55.572763157894734,-18.804734070923146,91.04477611940298,136.0,38.23529411764706,0.23761756037688253
sink_sets,7081.43,6942.799999999999,0.19999905330303813,0.30201247588882035,1.9967448291755636,138.63000000000102,-10.958485958485959,7.47343160781625,7.020757020757021,0.45267458705922914,31.755291479820627,29.294514767932487,8.400127912621555,92.50525946704067,237.0,24.894514767932492,0.011162857392914616
cling_film,7012.459999999999,6041.860000000001,0.19805115087283537,0.26282149818137185,16.06458938141563,970.5999999999985,-7.816249571477546,12.978802528821124,12.135755913609874,0.8430466152112501,17.798121827411165,13.985787037037039,27.258636073024245,95.76255010498187,105.0,40.0,0.07815530105722304
dinnerware_stemware_storage,6635.719999999999,5783.119999999999,0.187410977441567,0.25156628299276296,14.742906942965053,852.6000000000004,36.855765665554316,3.0885938769981034,4.597701149425287,-1.5091072724271837,39.49833333333333,45.18062499999999,-12.576832805359963,84.37873357228196,78.0,35.8974358974359,0.06865362629444519
cooler,6105.56,5544.390000000001,0.17243780138826442,0.24118150475214858,10.121401993726975,561.1699999999992,-25.663716814159294,5.158730158730158,6.312684365781711,-1.1539542070515525,80.33631578947369,48.63500000000001,65.18210299059045,95.98490048043926,52.0,26.923076923076923,0.045186905310407845
travel_containers,5587.67,1801.48,0.15781116387082653,0.0783645553759567,210.17108155516576,3786.19,82.34836702954898,10.91684434968017,6.765163297045102,4.151681052635069,16.102795389048993,17.836435643564357,-9.719656377314864,95.9874114870181,92.0,32.608695652173914,0.30487411839052936
cereal_dispenser,5527.69,1937.74,0.1561171637582622,0.0842918786410098,185.26479300628566,3589.95,130.67655236329935,3.696263559662515,3.3364226135310475,0.3598409461314678,51.66065420560747,50.99315789473684,1.3089919087743467,88.65696816360953,102.0,30.392156862745097,0.2890723501240246
cube_shelf,5395.08,4201.99,0.15237189275247442,0.1827869740681086,28.39345167408776,1193.0900000000001,23.031727379553466,3.2473734479465137,4.230317273795535,-0.9829438258490211,63.471529411764706,48.8603488372093,29.903962870253498,88.55037833532458,108.0,30.555555555555557,0.09607078934510858
outdoor_storage,5337.34,13083.28,0.15074115639869878,0.5691239536709521,-59.20487828740194,-7745.9400000000005,-63.3201581027668,2.442528735632184,3.6100131752305664,-1.1674844395983823,78.49029411764707,66.07717171717172,18.785795574917895,95.51062880927606,111.0,15.315315315315313,-0.6237237509490905
food_wrap_dispenser,5225.110000000001,3302.41,0.14757147262689,0.14365515649305746,58.221117305240746,1922.7000000000007,-22.73892347125595,5.924170616113744,2.6363969242035887,3.2877736919101554,34.83406666666667,40.27329268292683,-13.505789206468394,96.64706817098363,204.0,19.607843137254903,0.15482093276604475
